model,accuracy,precision,recall,f1,train_time,predict_time
svm,0.88128,0.8864742134284788,0.87456,0.8804768041237113,248.82297587394714,0.00978231430053711
lr,0.88196,0.8826027726580655,0.88112,0.8818607630409544,6.191324949264526,0.008008956909179688
rf,0.8222,0.8192121740508838,0.82688,0.8230282278934585,7631.874047756195,1.362278938293457
nb,0.8302,0.8742406383171638,0.77136,0.8195843427259976,0.04293227195739746,0.01769256591796875
